ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS	ALIGNMENT	STRUCTURE
179	Amawaka	I	ɨ-	ɨ-	ɨ	None	13	ɨ -	V
178	Chakobo	I	ɨ	ɨ	ɨ	None	13	ɨ -	V
175	Kakataibo	I	ʔɨ-	ʔɨ-	ʔ ɨ	None	13	ʔ ɨ	C V
177	Kapanawa	I	ʔɨ-	ʔɨ-	ʔ ɨ	None	13	ʔ ɨ	C V
180	Kaxinawa	I	ɨ-	ɨ-	ɨ	None	13	ɨ -	V
181	Marinawa	I	ɨ	ɨ	ɨ	None	13	ɨ -	V
174	Proto-Panoan	I	ʔɨ	ʔɨ	ʔ ɨ	None	13	ʔ ɨ	C V
176	ShipiboKonibo	I	ʔɨ-	ʔɨ-	ʔ ɨ	None	13	ʔ ɨ	C V
3893	Amawaka	abandoned rock	naɨ_I	naɨ_I	n a ɨ	None	190	n a ɨ -	C V V
3891	Chakobo	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190	n a w ɨ	C V C V
3886	Kakataibo	abandoned rock	naɨ	naɨ	n a ɨ	None	190	n a ɨ -	C V V
3890	Kapanawa	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190	n a w ɨ	C V C V
3894	Kaxinawa	abandoned rock	nawɨ-	nawɨ-	n a w ɨ	None	190	n a w ɨ	C V C V
3895	Marinawa	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190	n a w ɨ	C V C V
3897	Matis	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190	n a w ɨ	C V C V
3885	Proto-Panoan	abandoned rock	[n]awɨ	[n]awɨ	rⁿ a w ɨ	None	190	rⁿ a w ɨ	C V C V
3892	Sharanawa	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190	n a w ɨ	C V C V
3887	ShipiboKonibo	abandoned rock	náwɨ	náwɨ	n a w ɨ	None	190	n a w ɨ	C V C V
3896	Yawanawa	abandoned rock	nauɨ	nauɨ	n a w ɨ	None	190	n a w ɨ	C V C V
5412	Katukina	abandoned rock	ɾumɨ	ɾumɨ	ɾ u m ɨ	None	308	ɾ u m ɨ	C V C V
3187	Amawaka	above	manã-	manã-	m a n a ~	II	132	m a n a ~ - - - -	C V C V 0
3181	Chakobo	above	mana	mana	m a n a	None	132	m a n a - - - - -	C V C V
3177	Kakataibo	above	manã́	manã́	m a n a ~	None	132	m a n a ~ - - - -	C V C V 0
3180	Kapanawa	above	manán	manán	m a n a n	None	132	m a n a n - - - -	C V C V C
3188	Kaxinawa	above	mãnã	mãnã	m a ~.n a ~	None	132	m a ~.n a ~ - - - -	C V 0 V 0
