ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS	ALIGNMENT	QUINTILES
85	ProtoKaren	Dipterocarpus tuberculatus Roxb	*thəNᴬ	*thəNᴬ	tʰ ə ɴ ⁵⁵		1	tʰ ə ɴ ⁵⁵	tʰ|tʰ|tʰ|tʰ|tʰ ə|ə|ə|ə|ə ŋ|ŋ|ŋ|ŋ|ŋ ⁵⁵|⁵⁵|⁵⁵|⁵⁵|⁵⁵
420	Kayah	Dipterocarpus tuberculatus Roxb	thɔ³³	thɔ³³	tʰ ɔ ³³		1	tʰ ɔ - ³³	tʰ ɔ ³³
711	Kayan	Dipterocarpus tuberculatus Roxb	thə⁵³	thə⁵³	tʰ ə ⁵³		1	tʰ ə - ⁵³	tʰ ə ⁵³
1012	Kayaw	Dipterocarpus tuberculatus Roxb	thə⁵⁵	thə⁵⁵	tʰ ə ⁵⁵		1	tʰ ə - ⁵⁵	tʰ ə ⁵⁵
1315	NorthernPao	Dipterocarpus tuberculatus Roxb	təŋ³¹ ̈	təŋ³¹̈	tʰ ə̤ ŋ ³¹		1	tʰ ə̤ ŋ ³¹	tʰ ə̤ ŋ ³¹
1602	NorthernPwo	Dipterocarpus tuberculatus Roxb	thɑ̃⁵⁵	thɑ̃⁵⁵	tʰ ɑ̃ ⁵⁵		1	tʰ ɑ̃ - ⁵⁵	tʰ ɑ̃ ⁵⁵
1888	NorthernSgaw	Dipterocarpus tuberculatus Roxb	thə³³	thə³³	tʰ ə ³³		1	tʰ ə - ³³	tʰ ə ³³
2761	SouthernSgaw	Dipterocarpus tuberculatus Roxb	thɔ⁵⁵	thɔ⁵⁵	tʰ ɔ ⁵⁵		1	tʰ ɔ - ⁵⁵	tʰ ɔ ⁵⁵
1	ProtoKaren	all, all gone, whole	*loɁᴰ	*loɁᴰ	l o ʔ̚ ⁵¹		10	l o ʔ̚ ⁵¹	( l o ʔ̚ ⁵¹ )
345	Kayah	all, all gone, whole	lɔ³³	lɔ³³	l ɔ ³³		10	l ɔ - ³³	l ɔ ³³
643	Kayan	all, all gone, whole	lɔɁ³³	lɔɁ³³	l ɔ ʔ ³³		10	l ɔ ʔ ³³	l ɔ ʔ ³³
935	Kayaw	all, all gone, whole	lə³³	lə³³	l ə ³³		10	l ə - ³³	l ə ³³
1249	NorthernPao	all, all gone, whole	loɁ⁴⁵	loɁ⁴⁵	l o ʔ ⁴⁵		10	l o ʔ ⁴⁵	l o ʔ ⁴⁵
1528	NorthernPwo	all, all gone, whole	lauɁ²¹	lauɁ²¹	l au ʔ ²¹		10	l au ʔ ²¹	l au ʔ ²¹
1809	NorthernSgaw	all, all gone, whole	(khɛ³³)ləɁ²¹	ləɁ²¹	l u ʔ ²¹		10	l u ʔ ²¹	l u ʔ ²¹
2121	SouthernPao	all, all gone, whole	luɁ⁴⁵	luɁ⁴⁵	l u ʔ ⁴⁵		10	l u ʔ ⁴⁵	l u ʔ ⁴⁵
2387	SouthernPwo	all, all gone, whole	lɔuɁ⁴⁵	lɔuɁ⁴⁵	l ɔu ʔ ⁴⁵		10	l ɔu ʔ ⁴⁵	l ɔu ʔ ⁴⁵
2684	SouthernSgaw	all, all gone, whole	lɔu¹¹	lɔu¹¹	l ɔu ¹¹		10	l ɔu - ¹¹	l ɔu ¹¹
2	ProtoKaren	ant	*dəŋᴮ	*dəŋᴮ	d ə ŋ ¹¹		21	d ə ŋ ¹¹	( d ə ŋ ¹¹ )
346	Kayah	ant	tɔ¹¹	tɔ¹¹	t ɔ ¹¹		21	t ɔ - ¹¹	t ɔ ¹¹
644	Kayan	ant	tə¹¹	tə¹¹	t ə ¹¹		21	t ə - ¹¹	t ə ¹¹
936	Kayaw	ant	tə¹¹	tə¹¹	t ə ¹¹		21	t ə - ¹¹	t ə ¹¹
1250	NorthernPao	ant	təŋ⁵³	təŋ⁵³	tʰ ə ŋ ⁵³		21	tʰ ə ŋ ⁵³	tʰ ə ŋ ⁵³
1529	NorthernPwo	ant	thã¹¹ ̈	thã¹¹̈	tʰ ã ɦ ¹¹		21	tʰ ã ɦ ¹¹	tʰ ã ɦ ¹¹
1810	NorthernSgaw	ant	tə¹¹ ̈	tə¹¹̈	t ə ɦ ¹¹		21	t ə ɦ ¹¹	t ə ɦ ¹¹
2122	SouthernPao	ant	təŋ⁵⁵	təŋ⁵⁵	t ə ŋ ⁵⁵		21	t ə ŋ ⁵⁵	t ə ŋ ⁵⁵
2388	SouthernPwo	ant	thə̃ɨ̯ ³³	thə̃ɨ̯³³	tʰ ə̃ɨ̯ ³³		21	tʰ ə̃ɨ̯ - ³³	tʰ ə̃ɨ̯ ³³
2685	SouthernSgaw	ant	tə³¹	tə³¹	t ə ³¹		21	t ə - ³¹	t ə ³¹
2984	WesternBwe	ant	do³³	do³³	d o ³³		21	d o - ³³	d o ³³
3	ProtoKaren	arrive	*təᴮ	*təᴮ	d ə ¹¹		33	d ə ¹¹	( d ə ¹¹ )
347	Kayah	arrive	to¹¹	to¹¹	t o ¹¹		33	t o ¹¹	t o ¹¹
645	Kayan	arrive	təɨ̯ ¹¹	təɨ̯_¹¹	t əɨ ¹¹		33	t əɨ ¹¹	t əɨ ¹¹
937	Kayaw	arrive	tə¹¹	tə¹¹	t ə ¹¹		33	t ə ¹¹	t ə ¹¹
1251	NorthernPao	arrive	tə⁵⁵	tə⁵⁵	tʰ ə ⁵⁵		33	tʰ ə ⁵⁵	tʰ ə ⁵⁵
1530	NorthernPwo	arrive	thɔ³³	thɔ³³	tʰ ɔ ³¹		33	tʰ ɔ ³¹	tʰ ɔ ³¹
1811	NorthernSgaw	arrive	tɨ³³	tɨ³³	t ɨ ³³		33	t ɨ ³³	t ɨ ³³
2123	SouthernPao	arrive	tə³³	tə³³	t ə ³³		33	t ə ³³	t ə ³³
2389	SouthernPwo	arrive	tho³¹ ̈	tho³¹̈	tʰ o ⁵⁵		33	tʰ o ⁵⁵	tʰ o ⁵⁵
2686	SouthernSgaw	arrive	tɨ⁴⁵’	tɨ⁴⁵’	t ɨ ⁴⁵		33	t ɨ ⁴⁵	t ɨ ⁴⁵
2985	WesternBwe	arrive	do³³	do³³	d o ³³		33	d o ³³	d o ³³
4	ProtoKaren	arrow, dart	*blaᴮ	*blaᴮ	b l a ¹¹		46	b l a - ¹¹	( b l a ¹¹ )
348	Kayah	arrow, dart	pla¹¹	pla¹¹	p l e ¹¹		46	p l e - ¹¹	p l e ¹¹
646	Kayan	arrow, dart	pla¹¹	pla¹¹	p l a ¹¹		46	p l a - ¹¹	p l a ¹¹
938	Kayaw	arrow, dart	ple¹¹	ple¹¹	p l a ¹¹		46	p l a - ¹¹	p l a ¹¹
1252	NorthernPao	arrow, dart	pla⁵⁵	pla⁵⁵	pʰ l a ⁵³		46	pʰ l a - ⁵³	pʰ l a ⁵³
1531	NorthernPwo	arrow, dart	pla¹¹ ̈	pla¹¹̈	pʰ l a ɦ ¹¹		46	pʰ l a ɦ ¹¹	pʰ l a ɦ ¹¹
1812	NorthernSgaw	arrow, dart	pla¹¹ ̈	pla¹¹̈	p l a ɦ ¹¹		46	p l a ɦ ¹¹	p l a ɦ ¹¹
2124	SouthernPao	arrow, dart	pla³³	pla³³	p l a ⁵⁵		46	p l a - ⁵⁵	p l a ⁵⁵
2390	SouthernPwo	arrow, dart	phla³³	phla³³	pʰ l a ³³		46	pʰ l a - ³³	pʰ l a ³³
2687	SouthernSgaw	arrow, dart	pla³¹	pla³¹	p l a ³¹		46	p l a - ³¹	p l a ³¹
2986	WesternBwe	arrow, dart	blɛ³³	blɛ³³	b l ɛ ³³		46	b l ɛ - ³³	b l ɛ ³³
5	ProtoKaren	ascend, go up, rise	*thaŋᴮ	*thaŋᴮ	tʰ a ŋ ¹¹		59	tʰ a ŋ ¹¹	( tʰ a ŋ ¹¹ )
349	Kayah	ascend, go up, rise	thɛ¹¹	thɛ¹¹	tʰ ɛ ¹¹		59	tʰ ɛ - ¹¹	tʰ ɛ ¹¹
647	Kayan	ascend, go up, rise	thaŋ¹¹	thaŋ¹¹	tʰ a ŋ ¹¹		59	tʰ a ŋ ¹¹	tʰ a ŋ ¹¹
939	Kayaw	ascend, go up, rise	hɔ¹¹	hɔ¹¹	h ɔ ¹¹		60	h ɔ ¹¹	h ɔ ¹¹
1253	NorthernPao	ascend, go up, rise	thaŋ⁵⁵	thaŋ⁵⁵	tʰ a ŋ ⁵⁵		59	tʰ a ŋ ⁵⁵	tʰ a ŋ ⁵⁵
1532	NorthernPwo	ascend, go up, rise	thɛ̃³³	thɛ̃³³	tʰ ɛ̃ ³³		59	tʰ ɛ̃ - ³³	tʰ ɛ̃ ³³
1813	NorthernSgaw	ascend, go up, rise	thɔ³¹῀	thɔ³¹῀	tʰ ɔ̃ ³¹		59	tʰ ɔ̃ - ³¹	tʰ ɔ̃ ³¹
2125	SouthernPao	ascend, go up, rise	thaŋ³³	thaŋ³³	tʰ a ŋ ³³		59	tʰ a ŋ ³³	tʰ a ŋ ³³
2391	SouthernPwo	ascend, go up, rise	thɔ̃⁵⁵	thɔ̃⁵⁵	tʰ ɔ̃ ⁵⁵		59	tʰ ɔ̃ - ⁵⁵	tʰ ɔ̃ ⁵⁵
2688	SouthernSgaw	ascend, go up, rise	thɔ⁴⁵’	thɔ⁴⁵’	tʰ ɔ ⁴⁵		59	tʰ ɔ - ⁴⁵	tʰ ɔ ⁴⁵
2987	WesternBwe	ascend, go up, rise	tha³³	tha³³	tʰ a ³³		59	tʰ a - ³³	tʰ a ³³
6	ProtoKaren	ashes, fireplace	*phaᴮ	*phaᴮ	pʰ a ¹¹		72	pʰ a ¹¹	( pʰ a ¹¹ )
350	Kayah	ashes, fireplace	phe¹¹	phe¹¹	pʰ e ¹¹		72	pʰ e ¹¹	pʰ e ¹¹
648	Kayan	ashes, fireplace	pha¹¹	pha¹¹	pʰ a ¹¹		72	pʰ a ¹¹	pʰ a ¹¹
940	Kayaw	ashes, fireplace	pha¹¹	pha¹¹	pʰ a ¹¹		72	pʰ a ¹¹	pʰ a ¹¹
1254	NorthernPao	ashes, fireplace	pha⁵⁵	pha⁵⁵	pʰ a ⁵⁵		72	pʰ a ⁵⁵	pʰ a ⁵⁵
1814	NorthernSgaw	ashes, fireplace	pha³¹῀	pha³¹῀	pʰ a ³¹		72	pʰ a ³¹	pʰ a ³¹
2126	SouthernPao	ashes, fireplace	pha³³	pha³³	pʰ a ³³		72	pʰ a ³³	pʰ a ³³
2689	SouthernSgaw	ashes, fireplace	pha⁴⁵’	pha⁴⁵’	pʰ a ⁴⁵		72	pʰ a ⁴⁵	pʰ a ⁴⁵
7	ProtoKaren	astringent	*kjaɁᴰ	*kjaɁᴰ	k j a ʔ̚ ⁵¹		81	k j a ʔ̚ ⁵¹	( k j a ʔ̚ ⁵¹ )
351	Kayah	astringent	khja⁵⁵	khja⁵⁵	kʰ j a ⁵⁵		81	kʰ j a - ⁵⁵	kʰ j a ⁵⁵
649	Kayan	astringent	khiɁ⁴⁵	khiɁ⁴⁵	kʰ i ʔ ⁴⁵		81	kʰ - i ʔ ⁴⁵	kʰ i ʔ ⁴⁵
1255	NorthernPao	astringent	khjaɁ²¹	khjaɁ²¹	kʰ j a ʔ ²¹		81	kʰ j a ʔ ²¹	kʰ j a ʔ ²¹
1533	NorthernPwo	astringent	kaiɁ⁴⁵	kaiɁ⁴⁵	k ai ʔ ⁴⁵		81	k - ai ʔ ⁴⁵	k ai ʔ ⁴⁵
1815	NorthernSgaw	astringent	kiɁ⁴⁵	kiɁ⁴⁵	k i ʔ ⁴⁵		81	k - i ʔ ⁴⁵	k i ʔ ⁴⁵
2392	SouthernPwo	astringent	kaiɁ³¹	kaiɁ³¹	k ai ʔ ³¹		81	k - ai ʔ ³¹	k ai ʔ ³¹
2690	SouthernSgaw	astringent	kaiɁ²¹	kaiɁ²¹	k ai ʔ ²¹		81	k - ai ʔ ²¹	k ai ʔ ²¹
8	ProtoKaren	bamboo	*hwaᴮ	*hwaᴮ	h w a ¹¹		91	h w a ¹¹	( h w a ¹¹ )
352	Kayah	bamboo	we¹¹	we¹¹	w e ¹¹		91	- w e ¹¹	w e ¹¹
650	Kayan	bamboo	hwa¹¹~hau¹¹	hwa¹¹	h w a ¹¹		91	h w a ¹¹	h w a ¹¹
1256	NorthernPao	bamboo	wa⁵⁵	wa⁵⁵	w a ⁵⁵		91	- w a ⁵⁵	w a ⁵⁵
1534	NorthernPwo	bamboo	wa³³	wa³³	w a ³³		91	- w a ³³	w a ³³
1816	NorthernSgaw	bamboo	wa³¹῀	wa³¹῀	w a ³¹		91	- w a ³¹	w a ³¹
2127	SouthernPao	bamboo	wa³³	wa³³	w a ³³		91	- w a ³³	w a ³³
2393	SouthernPwo	bamboo	wa⁵⁵	wa⁵⁵	w a ⁵⁵		91	- w a ⁵⁵	w a ⁵⁵
2691	SouthernSgaw	bamboo	wa⁴⁵’	wa⁴⁵’	w a ⁴⁵		91	- w a ⁴⁵	w a ⁴⁵
2988	WesternBwe	bamboo	hʊ³³	hʊ³³	h ɛ ³³		91	h - ɛ ³³	h ɛ ³³
9	ProtoKaren	bamboo rat	*(jowᴮ)khanᴬ	*khanᴬ	kʰ a ŋ ⁵⁵		103	kʰ a ŋ - ⁵⁵	( kʰ a ŋ ⁵⁵ )
651	Kayan	bamboo rat	ɟu¹¹khaŋ⁵³	ɟu¹¹khaŋ⁵³	ɟ u ¹¹ + kʰ a ŋ ⁵³		2349 103	ɟ u - ¹¹ + kʰ a ŋ - ⁵³	ɟ u ¹¹ + kʰ a ŋ ⁵³
941	Kayaw	bamboo rat	(ju¹¹)khɔ⁵⁵	khɔ⁵⁵	kʰ ɔ ⁵⁵		103	kʰ ɔ - - ⁵⁵	kʰ ɔ ⁵⁵
1257	NorthernPao	bamboo rat	(ju⁵⁵)khan³¹ ̈	khan³¹̈	kʰ a ŋ ɦ ³¹		103	kʰ a ŋ ɦ ³¹	kʰ a ŋ ɦ ³¹
1535	NorthernPwo	bamboo rat	khɛ̃³⁵	khɛ̃³⁵	kʰ ɛ̃ ³⁵		103	kʰ ɛ̃ - - ³⁵	kʰ ɛ̃ ³⁵
1817	NorthernSgaw	bamboo rat	khɔ³³	khɔ³³	kʰ ɔ̃ ³³		103	kʰ ɔ̃ - - ³³	kʰ ɔ̃ ³³
2394	SouthernPwo	bamboo rat	khɔ̃⁵³	khɔ̃⁵³	kʰ ɔ̃ ⁵³		103	kʰ ɔ̃ - - ⁵³	kʰ ɔ̃ ⁵³
2692	SouthernSgaw	bamboo rat	khɔ⁵⁵	khɔ⁵⁵	kʰ ɔ ⁵⁵		103	kʰ ɔ - - ⁵⁵	kʰ ɔ ⁵⁵
2989	WesternBwe	bamboo rat	khɛ⁵⁵	khɛ⁵⁵	kʰ a ⁵⁵		103	kʰ a - - ⁵⁵	kʰ a ⁵⁵
11	ProtoKaren	bamboo shoot	*Ɂbaŋᴮ	*Ɂbaŋᴮ	ˀb a ŋ ¹¹		114	ˀb a ŋ ¹¹	( ˀb a ŋ ¹¹ )
354	Kayah	bamboo shoot	bɛ¹¹	bɛ¹¹	b ɛ ¹¹		114	b ɛ - ¹¹	b ɛ ¹¹
653	Kayan	bamboo shoot	baŋ¹¹	baŋ¹¹	b a ŋ ¹¹		114	b a ŋ ¹¹	b a ŋ ¹¹
943	Kayaw	bamboo shoot	bɔ¹¹	bɔ¹¹	b ɔ ¹¹		114	b ɔ - ¹¹	b ɔ ¹¹
1259	NorthernPao	bamboo shoot	baŋ⁵⁵	baŋ⁵⁵	b a ŋ ⁵⁵		114	b a ŋ ⁵⁵	b a ŋ ⁵⁵
1537	NorthernPwo	bamboo shoot	bɛ̃³³	bɛ̃³³	b ɛ̃ ³³		114	b ɛ̃ - ³³	b ɛ̃ ³³
1819	NorthernSgaw	bamboo shoot	bɔ³¹῀	bɔ³¹῀	b ɔ̃ ³¹		114	b ɔ̃ - ³¹	b ɔ̃ ³¹
2129	SouthernPao	bamboo shoot	baŋ³³	baŋ³³	b a ŋ ³³		114	b a ŋ ³³	b a ŋ ³³
2396	SouthernPwo	bamboo shoot	bɔ̃⁵⁵	bɔ̃⁵⁵	b ɔ̃ ⁵⁵		114	b ɔ̃ - ⁵⁵	b ɔ̃ ⁵⁵
2694	SouthernSgaw	bamboo shoot	bɔ⁴⁵’	bɔ⁴⁵’	b ɔ ⁴⁵		114	b ɔ - ⁴⁵	b ɔ ⁴⁵
2991	WesternBwe	bamboo shoot	ɓa³³	ɓa³³	ɓ a ³³		114	ɓ a - ³³	ɓ a ³³
10	ProtoKaren	bamboo strip	*sraᴬ	*sraᴬ	s r a ⁵⁵		126	s r a - ⁵⁵	( s r a ⁵⁵ )
353	Kayah	bamboo strip	se³³	se³³	s e ³³		126	s - e - ³³	s e ³³
652	Kayan	bamboo strip	θa⁵³	θa⁵³	θ a ⁵³		126	θ - a - ⁵³	θ a ⁵³
942	Kayaw	bamboo strip	sa⁵⁵	sa⁵⁵	s a ⁵⁵		126	s - a - ⁵⁵	s a ⁵⁵
1258	NorthernPao	bamboo strip	sa³¹ ̈	sa³¹̈	s a ɦ ³¹		126	s - a ɦ ³¹	s a ɦ ³¹
1536	NorthernPwo	bamboo strip	sja³⁵	sja³⁵	s j a ³⁵		126	s j a - ³⁵	s j a ³⁵
1818	NorthernSgaw	bamboo strip	ɕɣa³³	ɕɣa³³	ɕ ɣ a ³³		126	ɕ ɣ a - ³³	ɕ ɣ a ³³
2128	SouthernPao	bamboo strip	sa³¹ ̈	sa³¹̈	s a ɦ ³¹		126	s - a ɦ ³¹	s a ɦ ³¹
2395	SouthernPwo	bamboo strip	θa⁵³	θa⁵³	θ a ⁵³		126	θ - a - ⁵³	θ a ⁵³
2693	SouthernSgaw	bamboo strip	ɕɣa⁵⁵	ɕɣa⁵⁵	ɕ ɣ a ⁵⁵		126	ɕ ɣ a - ⁵⁵	ɕ ɣ a ⁵⁵
2990	WesternBwe	bamboo strip	θrɛ⁵⁵~θə⁵⁵rɛ⁵⁵	θrɛ⁵⁵	θ r ɛ ⁵⁵		126	θ r ɛ - ⁵⁵	θ r ɛ ⁵⁵
12	ProtoKaren	bark (n.), leather, skin	*pheɁᴰ	*pheɁᴰ	pʰ e ʔ̚ ⁵¹		138	pʰ e ʔ̚ ⁵¹	( pʰ e ʔ̚ ⁵¹ )
355	Kayah	bark (n.), leather, skin	pha⁵⁵	pha⁵⁵	pʰ a ⁵⁵		138	pʰ a - ⁵⁵	pʰ a ⁵⁵
944	Kayaw	bark (n.), leather, skin	phe³³	phe³³	pʰ e ³³		138	pʰ e - ³³	pʰ e ³³
1260	NorthernPao	bark (n.), leather, skin	pheɁ²¹	pheɁ²¹	pʰ e ʔ ²¹		138	pʰ e ʔ ²¹	pʰ e ʔ ²¹
1538	NorthernPwo	bark (n.), leather, skin	phaiɁ⁴⁵	phaiɁ⁴⁵	pʰ ai ʔ ⁴⁵		138	pʰ ai ʔ ⁴⁵	pʰ ai ʔ ⁴⁵
1820	NorthernSgaw	bark (n.), leather, skin	phiɁ⁴⁵	phiɁ⁴⁵	pʰ i ʔ ⁴⁵		138	pʰ i ʔ ⁴⁵	pʰ i ʔ ⁴⁵
2397	SouthernPwo	bark (n.), leather, skin	phaiɁ³¹	phaiɁ³¹	pʰ ai ʔ ³¹		138	pʰ ai ʔ ³¹	pʰ ai ʔ ³¹
