ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS	ALIGNMENT	QUINTILES
1	OldBurmese	I	ṅa	ṅa	ṅ/ŋ a		665	ṅ/ŋ a -	ṅ/ŋ a
2	Rangoon	I	ŋɑ²²	ŋɑ²²	ŋ ɑ ²²		665	ŋ ɑ ²²	ŋ ɑ ²²
3	AchangLongchuan	I	ŋɔ⁵⁵	ŋɔ⁵⁵	ŋ ɔ ⁵⁵		665	ŋ ɔ ⁵⁵	ŋ ɔ ⁵⁵
4	Atsi	I	ŋo⁵¹	ŋo⁵¹	ŋ o ⁵¹		665	ŋ o ⁵¹	ŋ o ⁵¹
5	Bola	I	ŋa⁵⁵	ŋa⁵⁵	ŋ a ⁵⁵		665	ŋ a ⁵⁵	ŋ a ⁵⁵
6	Lashi	I	ŋo³¹	ŋo³¹	ŋ o ³¹		665	ŋ o ³¹	ŋ o ³¹
7	Maru	I	ŋɔ³¹	ŋɔ³¹	ŋ ɔ ³¹		665	ŋ ɔ ³¹	ŋ ɔ ³¹
8	Xiandao	I	ŋɔ⁵⁵	ŋɔ⁵⁵	ŋ ɔ ⁵⁵		665	ŋ ɔ ⁵⁵	ŋ ɔ ⁵⁵
9	ProtoBurmish	I	*ŋa	ŋa¹	ŋ a ¹		665	ŋ a ¹	( ŋ a ¹ )
10	Atsi	accomplish / succeed	pa̱n⁵⁵	pa̱n⁵⁵	p a̱ n ⁵⁵		4	p a̱ n ⁵⁵	p a̱ n ⁵⁵
11	Bola	accomplish / succeed	pɛ̃⁵⁵	pɛ̃⁵⁵	p ɛ̃ ⁵⁵		4	p ɛ̃ - ⁵⁵	p ɛ̃ ⁵⁵
12	Maru	accomplish / succeed	pəŋ³¹	pəŋ³¹	p ə ŋ ³¹		4	p ə ŋ ³¹	p ə ŋ ³¹
13	Atsi	accustomed to, be / habit of, haveve	man⁵⁵	man⁵⁵	m a n ⁵⁵		384	m a n ⁵⁵	m a n ⁵⁵
14	Bola	accustomed to, be / habit of, haveve	mɛ̃³⁵	mɛ̃³⁵	m ɛ̃ ³⁵		384	m ɛ̃ - ³⁵	m ɛ̃ ³⁵
15	Lashi	accustomed to, be / habit of, haveve	maːn⁵⁵	maːn⁵⁵	m aː n ⁵⁵		384	m aː n ⁵⁵	m aː n ⁵⁵
16	Maru	accustomed to, be / habit of, haveve	məŋ⁵⁵	məŋ⁵⁵	m ə ŋ ⁵⁵		384	m ə ŋ ⁵⁵	m ə ŋ ⁵⁵
17	ProtoBurmish	accustomed to, be / habit of, haveve	*manX	man³	m a n ³		384	m a n ³	( m a n ³ )
18	Atsi	ache (head)	no⁵¹	no⁵¹	n o ⁵¹		467	n o ⁵¹	n o ⁵¹
19	Bola	ache (head)	na⁵⁵	na⁵⁵	n a ⁵⁵		466	n a ⁵⁵	n a ⁵⁵
20	Lashi	ache (head)	nɔː³¹	nɔː³¹	n ɔː ³¹		467	n ɔː ³¹	n ɔː ³¹
21	Maru	ache (head)	nɔ³¹	nɔ³¹	n ɔ ³¹		466	n ɔ ³¹	n ɔ ³¹
22	OldBurmese	afraid, be	kro₂k	krOk	k r o₂/ɔ k		197	k r o₂/ɔ k -	k r o₂/ɔ k
23	Rangoon	afraid, be	tɕɑuʔ⁴	tɕɑuʔ⁴	tɕ ɑu ʔ ⁴		201	tɕ - ɑu ʔ ⁴	tɕ ɑu ʔ ⁴
24	Atsi	afraid, be	kjuʔ²¹	kjuʔ²¹	k j u ʔ ²¹		201	k j u ʔ ²¹	k j u ʔ ²¹
25	Bola	afraid, be	kjauʔ³¹	kjauʔ³¹	k j au ʔ ³¹		201	k j au ʔ ³¹	k j au ʔ ³¹
26	Lashi	afraid, be	kjuːk³¹	kjuːk³¹	k j uː k ³¹		201	k j uː k ³¹	k j uː k ³¹
27	Maru	afraid, be	kjauk³¹	kjauk³¹	k j au k ³¹		197	k j au k ³¹	k j au k ³¹
28	AchangLongchuan	afraid, be	ʐoʔ⁵⁵	ʐoʔ⁵⁵	ʐ o ʔ ⁵⁵		342	ʐ o ʔ ⁵⁵	ʐ o ʔ ⁵⁵
29	ProtoBurmish	afraid, be	*gruk	gruk⁴	g r u k ⁴		197	g r u k ⁴	g|g|g|g|g r|r|r|r|r u|u|u|u|u k|k|k|k|k.⁴ ¹|¹|¹|¹|¹
30	ProtoBurmish	afraid, be	*gjuk	gjuk⁴	g j u k ⁴		201	g j u k ⁴	( g j u k ⁴ )
31	Atsi	age	tsan⁵¹ vut²¹	tsan⁵¹+vut²¹	ts a n ⁵¹ + v u t ²¹		61 1869	ts a n ⁵¹ + v u t ²¹	ts a n ⁵¹ + v u t ²¹
32	Lashi	age	tsan³¹ wɔt³¹	tsan³¹+wɔt³¹	ts a n ³¹ + w ɔ t ³¹		61 1870	ts a n ³¹ + w ɔ t ³¹	ts a n ³¹ + w ɔ t ³¹
33	Maru	age	tsəŋ³¹ vɛʔ⁵⁵	tsəŋ³¹+vɛʔ⁵⁵	ts ə ŋ ³¹ + v ɛ ʔ ⁵⁵		64 1871	ts ə ŋ ³¹ + v ɛ ʔ ⁵⁵	ts ə ŋ ³¹ + v ɛ ʔ ⁵⁵
34	Maru	agree / consent	nuk³¹	nuk³¹	n u k ³¹		495	n u k ³¹	n u k ³¹
35	Rangoon	agree on / arrange	tɕhẽ⁵⁵	tɕhẽ⁵⁵	tɕʰ ẽ ⁵⁵		76	tɕʰ ẽ - ⁵⁵	tɕʰ ẽ ⁵⁵
36	Bola	agree on / arrange	taŋ³¹	taŋ³¹	t a ŋ ³¹		75	t a ŋ ³¹	t a ŋ ³¹
37	Lashi	all / everything	pan³¹ ʃɔ̱ʔ⁵⁵	pan³¹+ʃɔ̱ʔ⁵⁵	p a n ³¹ + ʃ ɔ̱ ʔ ⁵⁵		4 536	p a n ³¹ + ʃ ɔ̱ ʔ ⁵⁵	p a n ³¹ + ʃ ɔ̱ ʔ ⁵⁵
38	Maru	all / everything	pəŋ³¹ ʃɔʔ⁵⁵	pəŋ³¹+ʃɔʔ⁵⁵	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵		4 539	p ə ŋ ³¹ + - ʃ ɔ ʔ ⁵⁵	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵
39	Rangoon	all / everything	m̥ɑ̃²² tθɑ⁵³ m̥jɑ⁵³	m̥ɑ̃²²+tθɑ⁵³+m̥jɑ⁵³	m̥ ɑ̃ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³		3078 536 3079	m̥ ɑ̃ ²² + tθ ɑ - ⁵³ + m̥ j ɑ ⁵³	m̥ ɑ̃ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³
40	AchangLongchuan	all / everything	pʐa⁵⁵ pʐa⁵⁵	pʐa⁵⁵+pʐa⁵⁵	p ʐ a ⁵⁵ + p ʐ a ⁵⁵		3080 6	p ʐ a ⁵⁵ + p ʐ a ⁵⁵	p ʐ a ⁵⁵ + p ʐ a ⁵⁵
41	ProtoBurmish	all / everything	*ʔrjak	ˀrjak⁴	ˀr j a k ⁴		539	ˀr j a k ⁴	?ˀr ?j ?a ?k ?⁴
42	AchangLongchuan	all / whole, the	pʐa⁵⁵ pʐa⁵⁵	pʐa⁵⁵+pʐa⁵⁵	p ʐ a ⁵⁵ + p ʐ a ⁵⁵		940 6	p ʐ a ⁵⁵ + p ʐ a ⁵⁵	p ʐ a ⁵⁵ + p ʐ a ⁵⁵
43	Atsi	all / whole, the	pan²¹ ʃoʔ⁵⁵	pan²¹+ʃoʔ⁵⁵	p a n ²¹ + ʃ o ʔ ⁵⁵		536 941	p a n ²¹ + ʃ o ʔ ⁵⁵	p a n ²¹ + ʃ o ʔ ⁵⁵
44	Bola	all / whole, the	pɛ̃⁵⁵ ʃaʔ⁵⁵	pɛ̃⁵⁵+ʃaʔ⁵⁵	p ɛ̃ ⁵⁵ + ʃ a ʔ ⁵⁵		4 540	p ɛ̃ - ⁵⁵ + ʃ a ʔ ⁵⁵	p ɛ̃ ⁵⁵ + ʃ a ʔ ⁵⁵
45	Lashi	all / whole, the	pan³¹ ʃɔ̱ʔ⁵⁵	pan³¹+ʃɔ̱ʔ⁵⁵	p a n ³¹ + ʃ ɔ̱ ʔ ⁵⁵		4 536	p a n ³¹ + ʃ ɔ̱ ʔ ⁵⁵	p a n ³¹ + ʃ ɔ̱ ʔ ⁵⁵
46	Maru	all / whole, the	pəŋ³¹ ʃɔʔ⁵⁵	pəŋ³¹+ʃɔʔ⁵⁵	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵		4 539	p ə ŋ ³¹ + - ʃ ɔ ʔ ⁵⁵	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵
47	ProtoBurmish	all / whole, the	*brɛ	brɛ¹	b r ɛ ¹		6	b r ɛ ¹	b|b|b|b|b r|r|r|r|r a|a|a|a|a ¹|¹|¹|¹|¹
48	ProtoBurmish	all / whole, the	*ʃak	ʃak⁴	ʃ a k ⁴		540	ʃ a k ⁴	?ʃ ?a ?k ?⁴
49	Bola	alter	tøʔ³¹ nɔ̱̃⁵⁵	tøʔ³¹+nɔ̱̃⁵⁵	t ø ʔ ³¹ + n ɔ̱̃ ⁵⁵		3584 837	t ø ʔ ³¹ + n ɔ̱̃ - ⁵⁵	t ø ʔ ³¹ + n ɔ̱̃ ⁵⁵
50	Rangoon	aluminum	dɑ̃²²	dɑ̃²²	d ɑ̃ ²²		1491	d ɑ̃ ²²	d ɑ̃ ²²
51	Atsi	aluminum	tan⁵⁵	tan⁵⁵	t a n ⁵⁵		1492	t a n ⁵⁵	t a n ⁵⁵
52	Bola	aluminum	saŋ⁵⁵ phɔ⁵⁵	saŋ⁵⁵+phɔ⁵⁵	s a ŋ ⁵⁵ + pʰ ɔ ⁵⁵		552 3124	s a ŋ ⁵⁵ + pʰ ɔ ⁵⁵	s a ŋ ⁵⁵ + pʰ ɔ ⁵⁵
53	Atsi	angry, be / take offense	ni̱k⁵⁵ jo²¹	ni̱k⁵⁵+jo²¹	n i̱ k ⁵⁵ + j o ²¹		208 838	n i̱ k ⁵⁵ + - j o - ²¹	n i̱ k ⁵⁵ + j o ²¹
54	Bola	angry, be / take offense	na̱k⁵⁵ tʃam³¹ ja³¹	na̱k⁵⁵+tʃam³¹+ja³¹	n a̱ k ⁵⁵ + tʃ a m ³¹ + j a ³¹		1201 2212 1200	n a̱ k ⁵⁵ + tʃ a m ³¹ + j a ³¹	n a̱ k ⁵⁵ + tʃ a m ³¹ + j a ³¹
55	Lashi	angry, be / take offense	nə̱k⁵⁵ jɔː³³	nə̱k⁵⁵+jɔː³³	n ə̱ k ⁵⁵ + j ɔː ³³		1202 838	n ə̱ k ⁵⁵ + - j ɔː - ³³	n ə̱ k ⁵⁵ + j ɔː ³³
56	Maru	angry, be / take offense	na̱k⁵⁵ jo³¹	na̱k⁵⁵+jo³¹	n a̱ k ⁵⁵ + j o ³¹		1203 838	n a̱ k ⁵⁵ + - j o - ³¹	n a̱ k ⁵⁵ + j o ³¹
57	OldBurmese	angry, be / take offense	myak	mjak	m j a k		438	m j a k -	m j a k
58	Atsi	animals (twelve) representing the twelve years	tsan⁵¹ vut⁵⁵	tsan⁵¹+vut⁵⁵	ts a n ⁵¹ + v u t ⁵⁵		61 1857	ts a n ⁵¹ + v u t ⁵⁵	ts a n ⁵¹ + v u t ⁵⁵
