ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	ALIGNMENT	STRUCTURE	COGIDS
179	Amawaka	I	ɨ-	ɨ-	ɨ	None	13	- ɨ	V	13
178	Chakobo	I	ɨ	ɨ	ɨ	None	13	- ɨ	V	13
175	Kakataibo	I	ʔɨ-	ʔɨ-	ʔ ɨ	None	13	ʔ ɨ	C V	13
177	Kapanawa	I	ʔɨ-	ʔɨ-	ʔ ɨ	None	13	ʔ ɨ	C V	13
180	Kaxinawa	I	ɨ-	ɨ-	ɨ	None	13	- ɨ	V	13
181	Marinawa	I	ɨ	ɨ	ɨ	None	13	- ɨ	V	13
174	ProtoPanoan	I	ʔɨ	ʔɨ	ʔ ɨ	None	13	ʔ ɨ	C V	13
176	ShipiboKonibo	I	ʔɨ-	ʔɨ-	ʔ ɨ	None	13	ʔ ɨ	C V	13
3893	Amawaka	abandoned rock	naɨ_I	naɨ_I	n a ɨ	None	190	n a - ɨ	C V V	190
3891	Chakobo	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190	n a w ɨ	C V C V	190
3886	Kakataibo	abandoned rock	naɨ	naɨ	n a ɨ	None	190	n a - ɨ	C V V	190
3890	Kapanawa	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190	n a w ɨ	C V C V	190
3894	Kaxinawa	abandoned rock	nawɨ-	nawɨ-	n a w ɨ	None	190	n a w ɨ	C V C V	190
3895	Marinawa	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190	n a w ɨ	C V C V	190
3897	Matis	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190	n a w ɨ	C V C V	190
3885	ProtoPanoan	abandoned rock	[n]awɨ	[n]awɨ	rⁿ a w ɨ	None	190	rⁿ a w ɨ	C V C V	190
3892	Sharanawa	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190	n a w ɨ	C V C V	190
3887	ShipiboKonibo	abandoned rock	náwɨ	náwɨ	n a w ɨ	None	190	n a w ɨ	C V C V	190
3896	Yawanawa	abandoned rock	nauɨ	nauɨ	n a w ɨ	None	190	n a w ɨ	C V C V	190
5412	Katukina	abandoned rock	ɾumɨ	ɾumɨ	ɾ u m ɨ	None	308	ɾ u m ɨ	C V C V	308
3187	Amawaka	above	manã-	manã-	m a n a ∼	II	132	m a n a ∼	C V C V C	132
3181	Chakobo	above	mana	mana	m a n a	None	132	m a n a -	C V C V	132
3177	Kakataibo	above	manã́	manã́	m a n a ∼	None	132	m a n a ∼	C V C V C	132
3180	Kapanawa	above	manán	manán	m a n a n	None	132	m a n a n	C V C V C	132
3188	Kaxinawa	above	mãnã	mãnã	m a n a ∼	None	132	m a n a ∼	C V C V C	132
3189	Marinawa	above	mãnãkírí	mãnãkírí	m a n a ∼	None	132	m a n a ∼	C V C V C	132
3190	Mayoruna	above	mannan	mannan	m a n a n	None	132	m a n a n	C V C V C	132
3176	ProtoPanoan	above	ma[n]a[n]	ma[n]a[n]	m a rⁿ a rⁿ	None	132	m a rⁿ a rⁿ	C V C V C	132
3186	Shanenawa	above	manaun	manaun	m a n a	None	132	m a n a -	C V C V	132
3185	Sharanawa	above	mananun	mananun	m a n a n	None	132	m a n a n	C V C V C	132
3178	ShipiboKonibo	above	manã́	manã́	m a n a ∼	None	132	m a n a ∼	C V C V C	132
3182	Yaminawa	above	manaõ	manaõ	m a n a ∼	None	132	m a n a ∼	C V C V C	132
3363	Amawaka	achiote	maxɨ	maxɨ	m a x ɨ	II	146	m a x ɨ	C V C V	146
3360	Chakobo	achiote	maʂɨ	maʂɨ	m a ʂ ɨ	None	146	m a ʂ ɨ	C V C V	146
3361	Chaninawa	achiote	baʃɨ	baʃɨ	b a ʃ ɨ	None	146	b a ʃ ɨ	C V C V	146
3356	Kakataibo	achiote	maʂɨ	maʂɨ	m a ʂ ɨ	None	146	m a ʂ ɨ	C V C V	146
3358	Kapanawa	achiote	maʂɨ	maʂɨ	m a ʂ ɨ	None	146	m a ʂ ɨ	C V C V	146
3362	Katukina	achiote	maʂi	maʂi	m a ʂ i	None	146	m a ʂ i	C V C V	146
3364	Kaxinawa	achiote	maʂɨ	maʂɨ	m a ʂ ɨ	None	146	m a ʂ ɨ	C V C V	146
3365	Marinawa	achiote	máʂɨ́	máʂɨ́	m a ʂ ɨ	None	146	m a ʂ ɨ	C V C V	146
3359	Marubo	achiote	maʃɨ	maʃɨ	m a ʃ ɨ	None	146	m a ʃ ɨ	C V C V	146
3355	ProtoPanoan	achiote	maʂɨ	maʂɨ	m a ʂ ɨ	None	146	m a ʂ ɨ	C V C V	146
3357	ShipiboKonibo	achiote	maʂɨ	maʂɨ	m a ʂ ɨ	None	146	m a ʂ ɨ	C V C V	146
4412	Korubo	achiote	ʃinte	ʃinte	ʃ i n	None	233	- - ʃ i n	C V C	233
4617	Korubo	achiote	ʃinte	ʃinte	ʃ i n	None	247	- - ʃ i n	C V C	247
6568	Amawaka	adam's apple	tɨtõ	tɨtõ	t ɨ t o ∼	II	400	t ɨ t o ∼	C V C V C	400
6564	Chakobo	adam's apple	tɨto	tɨto	t ɨ t o	None	400	t ɨ t o -	C V C V	400
6560	Kakataibo	adam's apple	tɨtṍ	tɨtṍ	t ɨ t o ∼	None	400	t ɨ t o ∼	C V C V C	400
6562	Kapanawa	adam's apple	tɨtón	tɨtón	t ɨ t o n	None	400	t ɨ t o n	C V C V C	400
6570	Kaxinawa	adam's apple	tɨtuku	tɨtuku	t ɨ t u	None	400	t ɨ t u -	C V C V	400
6571	Marinawa	adam's apple	tɨ́ś_tõ	tɨ́ś_tõ	t ɨ t o ∼	None	400	t ɨ t o ∼	C V C V C	400
6563	Marubo	adam's apple	tə̃ˈto	tə̃ˈto	t ə t o	None	400	t ə t o -	C V C V	400
6559	ProtoPanoan	adam's apple	tɨto[n]	tɨto[n]	t ɨ t o rⁿ	None	400	t ɨ t o rⁿ	C V C V C	400
6566	Sharanawa	adam's apple	tɨtoko	tɨtoko	t ɨ t o	None	400	t ɨ t o -	C V C V	400
6561	ShipiboKonibo	adam's apple	tɨtṍ	tɨtṍ	t ɨ t o ∼	None	400	t ɨ t o ∼	C V C V C	400
7079	Amawaka	afternoon	yãtã	yãtã	j a ∼ t a ∼	II	445	j a ∼ t a ∼	C V C C V C	445
7075	Chakobo	afternoon	yáta	yáta	j a t a	None	445	j a - t a -	C V C V	445
7072	Kakataibo	afternoon	atã́	atã́	a t a ∼	None	445	- a - t a ∼	V C V C	445
7074	Kapanawa	afternoon	yantán	yantán	j a n t a n	None	445	j a n t a n	C V C C V C	445
7080	Marinawa	afternoon	yátã	yátã	j a t a ∼	None	445	j a - t a ∼	C V C V C	445
7071	ProtoPanoan	afternoon	yãtan	yãtan	j a ∼ t a n	None	445	j a ∼ t a n	C V C C V C	445
7078	Sharanawa	afternoon	yatan	yatan	j a t a n	None	445	j a - t a n	C V C V C	445
7073	ShipiboKonibo	afternoon	yãtã́	yãtã́	j a ∼ t a ∼	None	445	j a ∼ t a ∼	C V C C V C	445
7077	Yaminawa	afternoon	yãta	yãta	j a ∼ t a	None	445	j a ∼ t a -	C V C C V	445
7081	Yawanawa	afternoon	jãˈtã	jãˈtã	j a ∼ t a ∼	None	445	j a ∼ t a ∼	C V C C V C	445
1744	Chakobo	amber	tsisto	tsisto	ts i s t o	None	18	ts i s t o	C V C C V	18
1745	Mayoruna	amber	tsisu	tsisu	ts i s u	None	18	ts i s - u	C V C V	18
1742	ProtoPanoan	amber	[ts]is[t]o	[ts]is[t]o	ts i s t o	None	18	ts i s t o	C V C C V	18
1735	Chakobo	amber, coal	tsistɨ	tsistɨ	ts i s t ɨ	None	17	ts i s t ɨ	C V C C V	17
1734	Kapanawa	amber, coal	tsistɨ	tsistɨ	ts i s t ɨ	None	17	ts i s t ɨ	C V C C V	17
1739	Kaxinawa	amber, coal	tsistɨ	tsistɨ	ts i s t ɨ	None	17	ts i s t ɨ	C V C C V	17
1741	Marinawa	amber, coal	tsístɨ́	tsístɨ́	ts i s t ɨ	None	17	ts i s t ɨ	C V C C V	17
1731	ProtoPanoan	amber, coal	tsistɨ	tsistɨ	ts i s t ɨ	None	17	ts i s t ɨ	C V C C V	17
1737	Sharanawa	amber, coal	tsistɨ	tsistɨ	ts i s t ɨ	None	17	ts i s t ɨ	C V C C V	17
1733	ShipiboKonibo	amber, coal	tsistɨ	tsistɨ	ts i s t ɨ	None	17	ts i s t ɨ	C V C C V	17
1743	Kakataibo	amber, coal	tsiso	tsiso	ts i s o	None	18	ts i s - o	C V C V	18
7149	Amawaka	animal	yõʔina_I	yõʔina_I	j o ʔ i n a	None	451	j o ʔ i n a	C V C V C V	451
7144	Chakobo	animal	yoʔína	yoʔína	j o ʔ i n a	None	451	j o ʔ i n a	C V C V C V	451
7140	Kakataibo	animal	ñoina	ñoina	ɲ o i n a	None	451	ɲ o - i n a	C V V C V	451
7142	Kapanawa	animal	yoʔina	yoʔina	j o ʔ i n a	None	451	j o ʔ i n a	C V C V C V	451
7150	Kaxinawa	animal	yuina	yuina	j u i n a	None	451	j u - i n a	C V V C V	451
7152	Marinawa	animal	yóíná	yóíná	j o i n a	None	451	j o - i n a	C V V C V	451
7143	Marubo	animal	yoĩ	yoĩ	j o i ∼	None	451	j o - i ∼ -	C V V C	451
7148	Poyanawa	animal	iũĩda	iũĩda	j u i ∼.d a	None	451	j u - i ∼.d a	C V V C V	451
7139	ProtoPanoan	animal	yoʔi[n]a	yoʔi[n]a	j o ʔ i rⁿ a	None	451	j o ʔ i rⁿ a	C V C V C V	451
7147	Shanenawa	animal	yuina	yuina	j u i n a	None	451	j u - i n a	C V V C V	451
7145	Sharanawa	animal	yoina	yoina	j o i n a	None	451	j o - i n a	C V V C V	451
7141	ShipiboKonibo	animal	yoina	yoina	j o i n a	None	451	j o - i n a	C V V C V	451
7153	Yawanawa	animal	iuina	iuina	j u i n a	None	451	j u - i n a	C V V C V	451
3065	Amawaka	animal horn	matʃã	matʃã	m a tʃ a ∼	None	122	m a - tʃ a ∼	C V C V C	122
3060	Kapanawa	animal horn	mantʃán	mantʃán	m a n tʃ a n	None	122	m a n tʃ a n	C V C C V C	122
3057	ProtoPanoan	animal horn	mãtʃa[n]	mãtʃa[n]	m a ∼ tʃ a rⁿ	None	122	m a ∼ tʃ a rⁿ	C V C C V C	122
3059	ShipiboKonibo	animal horn	mãtʃã́	mãtʃã́	m a ∼ tʃ a ∼	None	122	m a ∼ tʃ a ∼	C V C C V C	122
3066	Yawanawa	animal horn	matʃan	matʃan	m a tʃ a n	None	122	m a - tʃ a n	C V C V C	122
3399	Amawaka	animal horn	máxo	máxo	m a x o	II	150	m a - x o	C V C V	150
3391	Chakobo	animal horn	maʃoˈʃo	maʃoˈʃo	m a ʃ o	None	150	m a - ʃ o	C V C V	150
3398	Kaxarari	animal horn	maʂaˈɦu	maʂaˈɦu	m a ʂ a	None	150	m a - ʂ a	C V C V	150
3400	Kaxinawa	animal horn	maʂu	maʂu	m a ʂ u	None	150	m a - ʂ u	C V C V	150
3401	Marinawa	animal horn	máʂo	máʂo	m a ʂ o	None	150	m a - ʂ o	C V C V	150
3390	Marubo	animal horn	mãˈʃũ	mãˈʃũ	m a ∼ ʃ u	None	150	m a ∼ ʃ u	C V C C V	150
3404	Mayoruna	animal horn	maˈʂukud	maˈʂukud	m a ʂ u	None	150	m a - ʂ u	C V C V	150
3397	Poyanawa	animal horn	mãhũ	mãhũ	m a ∼ h u	None	150	m a ∼ h u	C V C C V	150
3388	ProtoPanoan	animal horn	mãʂo	mãʂo	m a ∼ ʂ o	None	150	m a ∼ ʂ o	C V C C V	150
3396	Shanenawa	animal horn	maʂu	maʂu	m a ʂ u	None	150	m a - ʂ u	C V C V	150
3394	Sharanawa	animal horn	maʂo	maʂo	m a ʂ o	None	150	m a - ʂ o	C V C V	150
3392	Yaminawa	animal horn	mãʂo	mãʂo	m a ∼ ʂ o	None	150	m a ∼ ʂ o	C V C C V	150
3402	Yawanawa	animal horn	manʃun	manʃun	m a n ʃ u	None	150	m a n ʃ u	C V C C V	150
4965	Amawaka	ankle	hopoxko	hopoxko	p o x k o	II	276	p o x k o	C V C C V	276
4962	Chaninawa	ankle	opoʃko	opoʃko	p o ʃ k o	None	276	p o ʃ k o	C V C C V	276
4957	Kapanawa	ankle	tapoʃko	tapoʃko	p o ʃ k o	None	276	p o ʃ k o	C V C C V	276
4964	Katukina	ankle	tapuʂku	tapuʂku	p u ʂ k u	None	276	p u ʂ k u	C V C C V	276
4966	Kaxinawa	ankle	hupúʃku	hupúʃku	p u ʃ k u	None	276	p u ʃ k u	C V C C V	276
4967	Marinawa	ankle	ópoʂko	ópoʂko	p o ʂ k o	None	276	p o ʂ k o	C V C C V	276
4958	Marubo	ankle	taˈpuʂɨ	taˈpuʂɨ	p u ʂ ɨ	None	276	p u ʂ - ɨ	C V C V	276
4956	ProtoPanoan	ankle	poʂko	poʂko	p o ʂ k o	None	276	p o ʂ k o	C V C C V	276
4963	Sharanawa	ankle	opoʂko	opoʂko	p o ʂ k o	None	276	p o ʂ k o	C V C C V	276
4960	Yaminawa	ankle	opoʂko	opoʂko	p o ʂ k o	None	276	p o ʂ k o	C V C C V	276
4969	Yawanawa	ankle	upuʃˈku	upuʃˈku	p u ʃ k u	None	276	p u ʃ k u	C V C C V	276
5647	Amawaka	anteater	xaʔɨ	xaʔɨ	x a ʔ ɨ	II	328	x a ʔ ɨ	C V C V	328
5642	Chakobo	anteater	ʂaʔɨ	ʂaʔɨ	ʂ a ʔ ɨ	None	328	ʂ a ʔ ɨ	C V C V	328
5640	Kapanawa	anteater	ʂaʔɨ	ʂaʔɨ	ʂ a ʔ ɨ	None	328	ʂ a ʔ ɨ	C V C V	328
5646	Katukina	anteater	ʂaɨ	ʂaɨ	ʂ a ɨ	None	328	ʂ a - ɨ	C V V	328
5648	Kaxinawa	anteater	ʂaɨ	ʂaɨ	ʂ a ɨ	None	328	ʂ a - ɨ	C V V	328
5652	Korubo	anteater	ʃaɨ	ʃaɨ	ʃ a ɨ	None	328	ʃ a - ɨ	C V V	328
5649	Marinawa	anteater	ʂaɨ́́	ʂaɨ́́	ʂ a ɨ	None	328	ʂ a - ɨ	C V V	328
5641	Marubo	anteater	ʃaɨ	ʃaɨ	ʃ a ɨ	None	328	ʃ a - ɨ	C V V	328
5653	Matis	anteater	ʂaɨ	ʂaɨ	ʂ a ɨ	None	328	ʂ a - ɨ	C V V	328
5655	Mayoruna	anteater	ʂaɨ	ʂaɨ	ʂ a ɨ	None	328	ʂ a - ɨ	C V V	328
5650	Poyanawa	anteater	hay	hay	h a i	None	328	h a - i	C V V	328
5637	ProtoPanoan	anteater	ʂaʔɨ	ʂaʔɨ	ʂ a ʔ ɨ	None	328	ʂ a ʔ ɨ	C V C V	328
5645	Shanenawa	anteater	saɨ	saɨ	s a ɨ	None	328	s a - ɨ	C V V	328
5643	Sharanawa	anteater	ʂaɨ	ʂaɨ	ʂ a ɨ	None	328	ʂ a - ɨ	C V V	328
5639	ShipiboKonibo	anteater	ʂaɨ	ʂaɨ	ʂ a ɨ	None	328	ʂ a - ɨ	C V V	328
5651	Yawanawa	anteater	ʂaˈɨ	ʂaˈɨ	ʂ a ɨ	None	328	ʂ a - ɨ	C V V	328
5011	Amawaka	arm	põyã_I	põyã_I	p o j a ∼	None	279	p o j a ∼	C V C V C	279
5002	Chakobo	arm	poyámɨ	poyámɨ	p o j a m	None	279	p o j a m	C V C V C	279
5005	Chaninawa	arm	póyan	póyan	p o j a n	None	279	p o j a n	C V C V C	279
5000	Kapanawa	arm	poyán	poyán	p o j a n	None	279	p o j a n	C V C V C	279
5008	Katukina	arm	puyan	puyan	p u j a n	None	279	p u j a n	C V C V C	279
5012	Kaxinawa	arm	puyã	puyã	p u j a ∼	None	279	p u j a ∼	C V C V C	279
5013	Marinawa	arm	poyã	poyã	p o j a ∼	None	279	p o j a ∼	C V C V C	279
5001	Marubo	arm	puˈɐ̃	puˈɐ̃	p u ɐ ∼	None	279	p u - ɐ ∼	C V V C	279
5010	Poyanawa	arm	puyã	puyã	p u j a ∼	None	279	p u j a ∼	C V C V C	279
4997	ProtoPanoan	arm	poyam	poyam	p o j a m	None	279	p o j a m	C V C V C	279
5006	Sharanawa	arm	poyan	poyan	p o j a n	None	279	p o j a n	C V C V C	279
4999	ShipiboKonibo	arm	poyã_o_põyã	poyã_o_põyã	p o j a ∼	None	279	p o j a ∼	C V C V C	279
5003	Yaminawa	arm	põya	põya	p o j a	None	279	p o j a -	C V C V	279
5016	Yawanawa	arm	puia-uma	puia-uma	p u j a	None	279	p u j a -	C V C V	279
2497	Marubo	arrow	kãti	kãti	k a ∼	None	77	k a ∼ -	C V C	77
4737	Amawaka	arrow	piya_I	piya_I	p i j a	None	257	p i j a	C V C V	257
4728	Chakobo	arrow	pia	pia	p i a	None	257	p i - a	C V V	257
4732	Chaninawa	arrow	pia	pia	p i a	None	257	p i - a	C V V	257
4725	Kakataibo	arrow	pia	pia	p i a	None	257	p i - a	C V V	257
4736	Katukina	arrow	pia	pia	p i a	None	257	p i - a	C V V	257
4729	Kaxarari	arrow	piˈja	piˈja	p i j a	None	257	p i j a	C V C V	257
4738	Kaxinawa	arrow	pia	pia	p i a	removed haʃi from data	257	p i - a	C V V	257
4739	Marinawa	arrow	pia	pia	p i a	también káɸiti	257	p i - a	C V V	257
4743	Mayoruna	arrow	pia	pia	p i a	None	257	p i - a	C V V	257
4724	ProtoPanoan	arrow	pia	pia	p i a	None	257	p i - a	C V V	257
4735	Shanenawa	arrow	pia	pia	p i a	None	257	p i - a	C V V	257
4733	Sharanawa	arrow	pia	pia	p i a	None	257	p i - a	C V V	257
4726	ShipiboKonibo	arrow	pia	pia	p i a	None	257	p i - a	C V V	257
4730	Yaminawa	arrow	pia	pia	p i a	None	257	p i - a	C V V	257
4740	Yawanawa	arrow	pia	pia	p i a	None	257	p i - a	C V V	257
